1024,1,4.42577
1024,16,147.951
1024,2,5.74497
1024,32,322.664
1024,4,14.2287
1024,8,46.7085
12,1,0.312108
12,16,0.622603
12,2,0.203968
12,32,3.04048
12,4,0.224028
12,8,0.385573
128,1,1.82598
128,16,11.6213
128,2,1.73861
128,32,28.6314
128,4,2.14395
128,8,4.78405
16,1,0.317616
16,16,1.77961
16,2,0.199682
16,32,4.49744
16,4,0.262915
16,8,0.456413
192,1,3.0594
192,16,12.7889
192,2,2.77985
192,32,27.4435
192,4,2.76436
192,8,5.27412
2048,1,5.69837
2048,16,273.871
2048,2,11.199
2048,32,615.042
2048,4,23.6669
2048,8,85.9468
24,1,0.357029
24,16,1.46441
24,2,0.263089
24,32,5.06421
24,4,0.228662
24,8,0.591705
256,1,3.5752
256,16,16.9298
256,2,3.09886
256,32,39.2101
256,4,3.60351
256,8,6.95543
32,1,0.398084
32,16,2.7672
32,2,0.285231
32,32,6.96405
32,4,0.306877
32,8,0.923706
4096,1,6.85663
4096,16,504.783
4096,2,17.2728
4096,32,1182.01
4096,4,44.9967
4096,8,163.474
512,1,3.66129
512,16,79.4547
512,2,4.37959
512,32,177.949
512,4,9.29204
512,8,25.9723
64,1,0.715105
64,16,5.20052
64,2,0.789539
64,32,14.5368
64,4,0.961476
64,8,2.26462
768,1,3.81672
768,16,115.055
768,2,4.45239
768,32,243.838
768,4,11.5854
768,8,37.0367
8,1,0.407249
8,16,1.48433
8,2,0.272178
8,32,4.04561
8,4,0.23239
8,8,0.390096
96,1,0.974976
96,16,7.98721
96,2,1.10466
96,32,18.6112
96,4,1.34516
96,8,3.0545
